"date","CEU0500000003","CIVPART","ECIALLCIV","JTSHIR","JTSJOR","JTSLDR","JTSQUR","LNS13025703","PAYEMS","PCEPILFE","U6RATE","UNRATE"
2006-01-01,NA,66,100.7,3.9,3.1,1.3,2.2,16.7,135446,89.41,8.4,4.7
2006-02-01,NA,66.1,NA,4,3,1.4,2.2,18.7,135753,89.544,8.4,4.8
2006-03-01,20.07,66.2,NA,4.1,3.3,1.4,2.2,18.6,136063,89.766,8.2,4.7
2006-04-01,20.36,66.1,101.6,3.8,3.5,1.4,2,18.6,136221,90,8.1,4.7
2006-05-01,20.06,66.1,NA,4,3.2,1.5,2.2,18.9,136261,90.205,8.2,4.6
2006-06-01,20.05,66.2,NA,4,3.3,1.3,2.2,16.6,136342,90.427,8.4,4.6
2006-07-01,20.28,66.1,102.6,4.1,3.2,1.4,2.2,18.3,136538,90.527,8.5,4.7
2006-08-01,20.13,66.2,NA,3.9,3.3,1.3,2.2,18.3,136713,90.713,8.4,4.7
2006-09-01,20.35,66.1,NA,3.9,3.4,1.3,2.1,18.1,136860,90.852,8,4.5
2006-10-01,20.51,66.2,103.4,3.9,3.3,1.4,2.2,15.9,136870,91.011,8.2,4.4
2006-11-01,20.44,66.3,NA,4,3.2,1.4,2.2,16.4,137082,91.058,8.1,4.5
2006-12-01,20.6,66.4,NA,3.8,3.2,1.3,2.2,16.2,137268,91.19,7.9,4.4
2007-01-01,20.69,66.4,104.2,3.9,3.3,1.4,2.2,16.3,137493,91.584,8.4,4.6
2007-02-01,20.78,66.3,NA,3.8,3.2,1.3,2.1,18,137573,91.787,8.2,4.5
2007-03-01,20.75,66.2,NA,4,3.5,1.4,2.2,18.6,137810,91.868,8,4.4
2007-04-01,20.99,65.9,105.1,3.9,3.4,1.5,2.1,17.4,137860,91.973,8.2,4.5
2007-05-01,20.77,66,NA,4,3.3,1.4,2.2,16.5,138012,92.069,8.2,4.4
2007-06-01,20.77,66,NA,3.8,3.4,1.3,2.1,16.4,138088,92.219,8.3,4.6
2007-07-01,20.94,66,105.9,3.8,3.3,1.4,2.1,18.3,138055,92.368,8.4,4.7
2007-08-01,20.8,65.8,NA,3.9,3.2,1.5,2.2,17.5,138032,92.503,8.4,4.6
2007-09-01,21.13,66,NA,3.9,3.3,1.6,2,17.5,138114,92.742,8.4,4.7
2007-10-01,21.01,65.8,106.8,3.9,3.3,1.5,2.1,17.7,138190,92.963,8.4,4.7
2007-11-01,21.07,66,NA,3.7,3.2,1.4,2,18.9,138299,93.134,8.4,4.7
